VARIABLES= "Y","Cl"
0.0100 0.0000
0.0300 0.0000
0.0500 0.0000
0.0700 0.0000
0.0900 0.0000
0.1100 0.0000
0.1300 0.0000
0.1500 0.0000
0.1700 0.0000
0.1900 0.0000
0.2100 0.0000
0.2300 0.0000
0.2500 0.0000
0.2700 0.0000
0.2900 0.0000
0.3100 0.0000
0.3300 0.0000
0.3500 0.0000
0.3700 0.0000
0.3900 0.0000
0.4100 0.0000
0.4300 0.0000
0.4500 0.0000
0.4700 0.0000
0.4900 0.0000
0.5100 0.0000
0.5300 0.0000
0.5500 0.0000
0.5700 0.0000
0.5900 0.0000
0.6100 0.0000
0.6300 0.0000
0.6500 0.0000
0.6700 0.0000
0.6900 0.0000
0.7100 0.0000
0.7300 0.0000
0.7500 0.0000
0.7700 0.0000
0.7900 0.0000
0.8100 0.0000
0.8300 0.0000
0.8500 0.0000
0.8700 0.0000
0.8900 0.0000
0.9100 0.0000
0.9300 0.0000
0.9500 0.0000
0.9700 0.0000
0.9900 0.0000
